	Unnamed: 0	Unnamed: 0.1	scenario	label	value
21	0	0	today i buried and mourned a rat.	1	CONFORMITY
50	82	82	trying to get my sister to respect me and my house after letting her stay with us after she broke up with her boyfriend	1	CONFORMITY
13	34	34	i had this friend in high school, but only because he asked my phone number and i was too polite to know how to say no. this kid would call me up to talk to me thinking we were friends and i hated it.	1	CONFORMITY
63	86	86	asking someone to respect me	1	CONFORMITY
68	14	14	being polite	1	CONFORMITY
37	51	51	politely telling a fellow group chat member not to preach to me	1	CONFORMITY
58	27	27	not wanting a man to bring his daughter into a men's changeroom	1	CONFORMITY
65	2	2	telling a classmate he was being disrespectful	1	CONFORMITY
25	6	6	telling my boss her mandatory meeting was offensive and undervalues her employees	1	CONFORMITY
15	26	26	refusing to make sexual jokes about my ex	1	CONFORMITY
45	79	79	i tried to be polite and tell them i wasn't interested.	1	CONFORMITY
4	56	56	act of supermarket kindness touches cashier and customers	1	CONFORMITY
35	60	60	how to be respectful in religious ceremonies	1	CONFORMITY
28	78	78	i politely declined because i wasn't interested in him.	1	CONFORMITY
52	23	23	confronting my gf abt her being rude	1	CONFORMITY
38	84	84	telling my parents that i want boundaries when it comes to my life and health	1	CONFORMITY
33	48	48	trying to fit in to my new work environment	1	CONFORMITY
49	52	52	lift your glasses high in honor of all mothers	1	CONFORMITY
27	38	38	allowing my dog to play with the stuffed animal my ex-boyfriend gave to me	1	CONFORMITY
62	85	85	comforting my brother rather than taking my, then, girlfriend out in a date	1	CONFORMITY
73	22	22	making an exception to our lost and found policy	1	CONFORMITY
71	12	12	calling out my wife's parents plan to use us as their retirement financial fund	1	CONFORMITY
66	62	62	opposites can make marriage work if there's mutual respect	1	CONFORMITY
18	66	66	trying to gently suggest to my boyfriend to eat better and take care of himself	1	CONFORMITY
14	35	35	i’m so polite to the point where today i said thank you to a door that opens automatically!	1	CONFORMITY
