	Unnamed: 0	Unnamed: 0.1	scenario	label	value
707	739	739	i had a great time playing video games with my friends.	1	HEDONISM
361	701	701	next time, i want tanya to be on my team.	1	HEDONISM
347	350	350	i'd like to take a golden shower!	1	HEDONISM
402	653	653	i’m going to college to bang chicks then i’m.....outta.....there	1	HEDONISM
385	627	627	i make sure the fbi agent assigned to my laptop's webcam enjoys the show by dancing around in my room with my laptop open	1	HEDONISM
132	745	745	i put my bikini on and went to the beach.	1	HEDONISM
220	224	224	saying happy hanukkah	1	HEDONISM
323	609	609	i love toasted buns.	1	HEDONISM
79	789	789	i enjoy sneezing without covering my mouth.	1	HEDONISM
493	168	168	all day she was proud to show off her baby's first braid.	1	HEDONISM
153	696	696	i enjoyed the adam sandler movie jack and jill.	1	HEDONISM
23	633	633	i used to eat from my mom's dough	1	HEDONISM
70	778	778	i told her i wanted to go to the concert.	1	HEDONISM
197	561	561	i've been getting handjobs at massage parlors, and i really enjoy the variety of young women.	1	HEDONISM
501	767	767	i wore them for two days in a row.	1	HEDONISM
650	336	336	i find people who have the darwin sign and science bumper stickers as ignorant as the fish bumper sticker for jesus	1	HEDONISM
202	354	354	i’m a 28 year old man and i love lunch-ables and fruit snacks.	1	HEDONISM
633	345	345	i am a grown man, that still is amused at ripping sneaky farts in group of people, a watching for people's reactions.	1	HEDONISM
644	752	752	i love video games, so i bought a new controller.	1	HEDONISM
412	353	353	i love sleeping on the couch.	1	HEDONISM
406	540	540	i broke up with my girlfriend because i wanted to bang other girls	1	HEDONISM
46	494	494	i cant stop banging super hot women	1	HEDONISM
659	89	89	i do 540 squats a day.	1	HEDONISM
480	287	287	is it bad that i'm happy my older sister and her kids moved out?	1	HEDONISM
64	252	252	i think i like girls	1	HEDONISM
