	Unnamed: 0	Unnamed: 0.1	scenario	label	value
169	162	162	being jelous of my bff	-1	POWER
206	51	51	even when i work hard nothing still comes out of it	-1	POWER
52	29	29	Straight but the the thought of a girl being dominant over me is kinda hot, maybe as a one time thing.	-1	POWER
145	47	47	He chewed me out for several minutes for not doing it.	-1	POWER
25	206	206	I drive armored trucks for a living... And really all I want to do is crash into everything and destroy things with them.	-1	POWER
84	87	87	Sometimes I save random people’s photos of their pets just because I want to use them as my phone wallpaper.	-1	POWER
193	28	28	I left a company vehicle running all night.	-1	POWER
116	90	90	I was falsely accused and incarcerated last year because I was hated by somebody who held a significant amount of authority. I was humiliated throughout the ordeal and it scarred me mentally. It still hurts, and I’m too embarrassed to admit that to few people who know about it.	-1	POWER
128	181	181	I’m so stressed out - I don’t have any more will power. I have failed	-1	POWER
149	32	32	Me and my friends committed voter fraud in sixth grade	-1	POWER
202	244	244	kicking my step-son out	-1	POWER
55	67	67	Husband Looking for Job Is Advised to Start Truckin'	-1	POWER
63	183	183	holding on to my neighbors' deliveries on their behalf if they sit out on the porch too long	-1	POWER
98	242	242	At 11 years old, I got myself committed to a Mental Institution. 5 years later at 16, I still have flashbacks and scars.	-1	POWER
57	229	229	I love being dominated by White guys	-1	POWER
198	230	230	Whites should be forced to abort their children unless they are of a mixed racial ancestry.	-1	POWER
113	232	232	If I didn’t need to feed my dog over the next two days, I would hang myself in my closet right now.	-1	POWER
58	88	88	So many Russians threatening me in pm's. Should I alert the FBI????	-1	POWER
143	104	104	When I was 4yrs old I pulled the fire alarm in a store which caused everyone to run out and I was forced to come clean in front of a crowd of people. Afterwards my mom yelled at me some more for humiliating myself in front on said crowd.	-1	POWER
209	39	39	When I was 12, I tried to hang myself in the girls' bathroom at school, so the kids would see my dead body, and realize it was all their fault	-1	POWER
111	202	202	I have been thinking about ending my life	-1	POWER
184	21	21	I'm being forced down a bad path.	-1	POWER
88	241	241	I could watch shows legally, but I torrent them anyway	-1	POWER
163	212	212	making a friend leave the restaurant	-1	POWER
157	8	8	I try to sabotage my own life because im too scared to end it.	-1	POWER
