	Unnamed: 0	Unnamed: 0.1	scenario	label	value
93	19	19	wanting to cut ties with my dad	1	SELF-DIRECTION
45	16	16	honking at drivers blocking the right lane	1	SELF-DIRECTION
23	22	22	liking my ex best friends ex girlfriend	1	SELF-DIRECTION
82	88	88	abandoned toys attract interest now that they're collectible	1	SELF-DIRECTION
90	77	77	i  exit through enter doors and enter through exit doors at supermarkets just too feel that sense of whatcha gonna do	1	SELF-DIRECTION
56	60	60	i create a fake internet personality for every new interest i have. i'm up to 15 now	1	SELF-DIRECTION
27	25	25	dating my sister in laws best friend and ruining their friendship	1	SELF-DIRECTION
44	68	68	i'm a bad feminist	1	SELF-DIRECTION
21	18	18	refusing to serve a customer during the minutes silence for remembrance day	1	SELF-DIRECTION
81	65	65	i stole this guys cat bc he wasnt treating him right	1	SELF-DIRECTION
76	94	94	on the plane ride there, he knew he made the right decision.	1	SELF-DIRECTION
51	40	40	i don't support war.	1	SELF-DIRECTION
13	45	45	forcing my 5 year old to sleep in her own bed	1	SELF-DIRECTION
26	72	72	i cut myself for the first time in four years. i feel like everyone should just give up on me	1	SELF-DIRECTION
47	43	43	i think i like my friend	1	SELF-DIRECTION
67	44	44	i like learning to do stuff for myself!	1	SELF-DIRECTION
85	78	78	doing things the right way	1	SELF-DIRECTION
32	13	13	wanting to see my boyfriends text messages	1	SELF-DIRECTION
75	57	57	when i was young i experimented	1	SELF-DIRECTION
16	103	103	asking out my waitress	1	SELF-DIRECTION
38	76	76	i broke out of prison	1	SELF-DIRECTION
36	32	32	i think i figured out what i'm going to do woth my life	1	SELF-DIRECTION
25	21	21	not being supportive of my friend whose dog is ill, right after my cat died	1	SELF-DIRECTION
49	6	6	contacting my ex-boss with a photo of the employee handbooking stating why she wrongfully fired me	1	SELF-DIRECTION
65	51	51	moving on 'quickly' from my ex-boyfriend who passed 3 weeks ago	1	SELF-DIRECTION
