	Unnamed: 0	Unnamed: 0.1	scenario	label	value
238	524	524	I'm bored right now and I don't want that to change	-1	STIMULATION
127	104	104	cutting my brother, sister-in-law, and potentially parenting out of my life out of nowhere and over some things that happened years ago	-1	STIMULATION
114	137	137	stopping all kind of communications with my best friend (male) because he got engaged	-1	STIMULATION
16	550	550	I despise going outside because I am overweight	-1	STIMULATION
346	278	278	I am a failure.	-1	STIMULATION
46	64	64	deciding not to attend a friend's bbq last minute	-1	STIMULATION
270	29	29	Really nervous I won't find a job after college.	-1	STIMULATION
360	156	156	Having my wisdom tooth removed has permanently changed my personality and now I'm thinking of suing my dentist.	-1	STIMULATION
386	515	515	i'm about to give up studying for the bar exam and i feel like a loser.	-1	STIMULATION
92	415	415	I'm secretly and shamefully super egotistical and I hate it because I pretend to be and want to be so humble	-1	STIMULATION
20	11	11	I hate being a CNA.	-1	STIMULATION
429	322	322	I can't stand my life.	-1	STIMULATION
56	566	566	I gave 11 years of my life to an emotionally abusive friend	-1	STIMULATION
422	165	165	I feel trapped in my relationship	-1	STIMULATION
502	40	40	I’m Trying To Ruin My Lungs With Silica Dust To Satisfy My Lung Damage Fetish	-1	STIMULATION
176	487	487	I have no desire to do anything with my life	-1	STIMULATION
506	463	463	My life really isnt going anywhere	-1	STIMULATION
5	74	74	I hate being a masculine male...	-1	STIMULATION
172	503	503	I feel unhappy with the course my life has been taking as of late	-1	STIMULATION
293	72	72	locking my door when Im changing clothes	-1	STIMULATION
41	252	252	not being comfortable with my partner talking to his ex-girlfriend/fwb	-1	STIMULATION
2	83	83	not giving someone a refund when they didn't know you needed internet to set up the product	-1	STIMULATION
380	54	54	not covering my co-worker's shift	-1	STIMULATION
64	69	69	I hate my life and I hate my personality	-1	STIMULATION
196	183	183	I was getting excited to make a post somewhere on my cake day and maybe get some karma because I dont have very much, but I missed it. I only noticed 2 days ago that I passed 2 years	-1	STIMULATION
