	Country	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism
0	Albania	4.65	5.23	4.56	4.52	3.89	5.15	4.69	3.76	4.91	5.0
1	Belgium	3.95	5.11	4.16	4.41	3.37	4.6	4.64	3.74	4.48	4.88
2	Bulgaria	4.66	5.08	4.59	3.66	3.74	5.17	4.28	3.6	4.71	4.86
3	Cyprus	4.24	5.35	4.11	4.2	3.65	5.56	5.02	3.77	4.93	5.14
4	Czech	3.87	4.54	4.26	3.94	3.86	4.76	4.55	3.53	4.21	4.48
5	Denmark	3.77	5.23	4.25	4.44	3.32	4.17	4.75	3.79	3.98	4.83
6	Estonia	3.08	4.73	4.11	3.63	3.32	4.72	3.46	3.7	4.79	4.39
7	Finland	3.4	5.04	4.07	4.04	2.82	4.55	4.6	3.66	4.07	4.96
8	France	3.32	4.89	3.69	4.28	2.78	4.54	4.42	3.4	4.12	4.85
9	Hungary	4.4	4.97	4.19	4.54	3.95	5.15	4.71	3.79	4.48	4.92
10	Iceland	3.3	5.21	3.54	4.29	3.05	4.22	4.55	3.74	3.93	4.81
11	Ireland	4.07	5.04	4.09	3.79	3.62	4.88	4.74	3.8	4.34	4.85
12	Israel	4.65	5.03	4.38	4.35	3.84	4.99	4.73	3.74	4.42	4.72
13	Italy	4.48	5.14	4.42	3.68	3.53	5.08	4.85	3.81	4.86	5.18
14	Kosovo	5.2	5.48	4.94	4.06	4.41	5.53	5.09	4.17	5.22	5.27
15	Lithuania	4.07	4.13	3.71	3.61	3.97	4.66	4.18	3.44	3.98	4.13
16	Netherlands	3.88	4.92	4.13	4.28	3.26	4.35	4.78	3.83	4.02	4.79
17	Norway	3.63	4.98	4.36	3.93	3.12	4.22	4.58	3.57	3.87	4.67
18	Poland	4.14	4.96	4.67	3.41	3.76	5.05	4.59	3.61	4.65	4.98
19	Portugal	4.12	4.63	3.98	3.83	3.46	4.67	4.4	3.35	4.26	4.54
20	Russia	4.27	4.73	4.29	3.86	4.2	4.91	4.52	3.56	4.46	4.67
21	Slovakia	4.29	4.75	4.67	3.76	4.05	5.11	4.75	3.71	4.68	4.83
22	Slovenia	4.53	5.09	4.44	4.42	3.7	5.25	4.88	3.87	4.88	5.18
23	Spain	3.66	5.28	4.28	3.98	3.04	4.97	4.77	3.5	4.69	5.16
24	Sweden	3.46	5.12	3.88	4.26	3.21	4.12	4.72	3.64	4.13	4.9
25	Switzerland	4.1	5.24	3.95	4.55	3.51	4.75	5.02	3.78	4.41	5.05
26	Ukraine	3.87	4.52	4.17	3.49	3.94	4.75	4.11	3.41	4.09	4.48
27	United_Kingdom	3.96	5.13	4.18	3.89	3.36	4.8	4.68	3.7	4.34	4.86
0	Group_1	3.514705882352941	3.825163398692812	3.683823529411765	3.4844771241830066	3.47140522875817	3.715686274509805	3.10375816993464	3.4550653594771243	3.8308823529411775	3.6718409586056646
